Date,,Company_Name,EPS_Forecast,Revenue_Forecast_1,Market_Cap
2024-03-05,0,BBVA Banco Frances (BBAR),80.32 / 24.1,-- / --,2.51T
2024-03-05,1,Target (TGT),2.98 / 2.43,31.92B / 31.89B,67.19B
2024-03-05,2,D’Ieteren (IETB),-- / --,"-- / 6,367M",10.73B
2024-03-05,3,Jiangsu Jiuwu Hi-Tech (300631),-- / --,-- / --,2.72B
2024-03-05,4,Jiangsu Boiln Plastics Co (301003),-- / --,142M / 142M,2.33B
2024-03-05,5,Nyxoah (NYXH),-0.379 / -0.3565,1.82M / 1.74M,275.86M
2024-03-06,6,Cencosud (CENCOSUD),123 / 122.01,"4,424.74B / 4,230.19B",5.22T
2024-03-06,7,Pampa Energia (PAMP),213.89 / 213.89,303.77B / 273.49B,3.08T
2024-03-06,8,Loma Negra (LOMA),-11.3 / 19.85,99.4B / 121.94B,720.35B
2024-03-06,9,Grupo Supervielle (SUPV),54.03 / 54.03,-- / --,716.87B
2024-03-06,10,Yantai North Andre Juice Co (605198),-- / --,-- / --,5.76B
2024-03-06,11,Guanhao Biotech (300238),-- / --,-- / --,2.74B
2024-03-06,12,Ruitai Mat Tech A (002066),-- / --,-- / --,2.11B
2024-03-06,13,Care Property Invest NV (CPINV),-- / --,-- / 17.1M,546.69M
2024-03-06,14,Celestial Biolabs Ltd (CELA),-- / --,-- / --,39.53M
2024-03-07,15,YPF (YPFD),-4019.68 / 1148.73,"3,549.16B / 3,696.37B",10.24T
2024-03-07,16,Capex (CAPX),-- / --,-- / --,1.03T
2024-03-07,17,Costco (COST),3.71 / 3.63,58.44B / 59.11B,359.12B
2024-03-07,18,Yisheng Poultry A (002458),-0.13 / 0.09,"566M / 2,763M",11.44B
2024-03-07,19,Hengdian Tospo Lighting (603303),-- / --,-- / --,6.25B
2024-03-07,20,Azelis (AZE),0.00 / --,973M / 1.02B,4.58B
2024-03-07,21,Cenergy Hold (CENER),-- / --,427.5M / 427.5M,1.69B
2024-03-07,22,Viohalco BR (VIOH),-- / --,-- / --,1.69B
2024-03-08,23,Central Puerto (CEPU),5.94 / 5.94,95.66B / 95.66B,1.78T
2024-03-08,24,Sociedad Matriz (SMSAAM),-- / --,-- / --,1.02T
2024-03-08,25,Edenor (EDN),-3130.1 / -3095.07,109.57B / 108.34B,872.49B
2024-03-08,26,Zte A (000063),0.31 / 0.3,34.86B / 32.84B,119.49B
2024-03-08,27,Apeloa A (000739),0.17 / --,2.97B / --,17.48B
2024-03-08,28,Shanghai Haohai (688366),-- / --,672M / 672M,13.24B
2024-03-08,29,Hengdian Entertainment (603103),-- / 0.62,-- / --,9.56B
2024-03-08,30,Teyi Pharmaceutical (002728),-- / --,-- / --,4.64B
2024-03-09,31,Nanjing Iron & Steel (600282),-- / --,-- / --,30.21B
2024-03-09,32,Dmegc Magnetics A (002056),-- / --,3.96B / --,21.91B
2024-03-09,33,Nanhua Futures Co (603093),0.17 / 0.17,-- / --,6.26B
2024-03-09,34,Funshine Culture (300860),-- / --,-- / --,4.36B
2024-03-09,35,Sunny Loan Top (600830),-- / --,-- / --,2.93B
